OPEID,INSTNM,CITY,STABBR,ZIP,SCH_DEG,PREDDEG,HIGHDEG,ST_FIPS,REGION,HBCU,PBI,MENONLY,WOMENONLY,ADM_RATE,ADM_RATE_ALL,UGDS_MEN,UGDS_WOMEN,COMP_ORIG_YR8_RT,OMAWDP8_ALL_POOLED_SUPP,OMAWDP8_PELL_ALL_POOLED_SUPP,C150_4_POOLED_SUPP,C150_L4_POOLED_SUPP,C150_4_PELL_POOLED_SUPP,C150_L4_PELL_POOLED_SUPP,COSTT4_A
00202100,Northwestern State University of Louisiana,Natchitoches,LA,71497-0002,3,3,4,22,5,0,0,0,0,0.9793,0.97933172580089,0.2814,0.7186,0.408963585434,0.4562,0.4484,0.4528,NA,0.4055,NA,23950
00202300,University of Holy Cross,New Orleans,LA,70131-7399,3,3,4,22,5,0,0,0,0,0.8735,0.87350054525627,0.1634,0.8366,0.423387096774,0.3171,0.3581,0.3291,NA,0.0909,NA,26352
03106200,Franciscan Missionaries of Our Lady University,Baton Rouge,LA,70808,3,3,4,22,5,0,0,0,0,0.8478,0.84782608695652,0.1564,0.8436,0.521317829457,0.4708,0.4195,0.4058,NA,0.1875,NA,25871
00202700,Saint Joseph Seminary College,St. Benedict,LA,70457,3,3,3,22,5,0,0,1,0,NA,NA,1,0,PS,0.5596,0.5455,0.4255,NA,PS,NA,41450
00576100,Fletcher Technical Community College,Schriever,LA,70395,1,1,2,22,5,0,0,0,0,NA,NA,0.2891,0.7109,0.153973509934,0.4258,0.3718,NA,0.0923,NA,0.0851,12575
03026514,Remington College-Lafayette Campus,Lafayette,LA,70503,1,1,2,22,5,0,0,0,0,NA,NA,0.2741,0.7259,0.618056395982,0.5857,0.5855,NA,0.4422,NA,0.444,30881
00546700,SOWELA Technical Community College,Lake Charles,LA,70615,1,1,2,22,5,0,0,0,0,NA,NA,0.4714,0.5286,0.210920770878,0.4732,0.3902,NA,0.4181,NA,0.3752,14901
00202400,Southeastern Louisiana University,Hammond,LA,70402,3,3,4,22,5,0,0,0,0,0.9898,0.98976877429916,0.3746,0.6254,0.408418657565,0.4268,0.3632,0.4049,NA,0.3264,NA,21784
00202500,Southern University and A & M College,Baton Rouge,LA,70813,3,3,4,22,5,1,0,0,0,0.539,0.53897634084268,0.3249,0.6751,0.329457364341,0.3911,0.3784,0.312,NA,0.2958,NA,24483
00202600,Southern University at New Orleans,New Orleans,LA,70126,3,3,4,22,5,1,0,0,0,0.9353,0.9353448275862,0.2264,0.7736,0.310344827586,0.3711,0.3826,0.1815,NA,0.1773,NA,20982
00768600,Southern University at Shreveport,Shreveport,LA,71107,2,2,2,22,5,1,0,0,0,NA,NA,0.2639,0.7361,0.129400570885,0.1702,0.1239,NA,0.0929,NA,0.0894,17518
00203100,University of Louisiana at Lafayette,Lafayette,LA,70503,3,3,4,22,5,0,0,0,0,0.7456,0.74557522123893,0.4189,0.5811,0.476314929762,0.5327,0.4533,0.5063,NA,0.3933,NA,23800
00675600,Northshore Technical Community College,Lacombe,LA,70445,1,1,2,22,5,0,0,0,0,NA,NA,0.5166,0.4834,0.24348810872,0.4446,0.4188,NA,0.2859,NA,0.2375,15214
00202900,Tulane University of Louisiana,New Orleans,LA,70118-5698,3,3,4,22,5,0,0,0,0,0.1145,0.11453424007591,0.3842,0.6158,0.60406885759,0.6981,0.5564,0.8673,NA,0.7973,NA,80932
00203200,Xavier University of Louisiana,New Orleans,LA,70125-1098,3,3,4,22,5,1,0,0,0,0.9516,0.95160740656594,0.2223,0.7777,0.457803468208,0.5295,0.4391,0.5028,NA,0.4167,NA,38603
01138500,College of the Atlantic,Bar Harbor,ME,04609,3,3,4,23,1,0,0,0,0,0.6008,0.60082304526748,0.3226,0.6774,0.444444444444,0.6008,0.5248,0.625,NA,0.52,NA,54969
00203600,Bates College,Lewiston,ME,04240,3,3,3,23,1,0,0,0,0,0.1374,0.1374350296144,0.4726,0.5274,0.907103825137,0.9189,0.9455,0.921,NA,0.8962,NA,77870
