JURISDICTION,COUNTY,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,VIOLENT CRIME TOTAL,PROPERTY CRIME TOTALS
Taneytown,Carroll,2019,6817,0,0,0,13,5,59,0,77,13,64
Taneytown,Carroll,2020,6824,0,0,1,7,5,29,1,43,8,35
Thurmont,Frederick,2019,6895,0,0,2,14,5,38,0,59,16,43
Thurmont,Frederick,2020,6977,0,1,1,10,4,26,2,44,12,32
Trappe,Talbot,2019,1005,0,0,0,0,0,0,0,0,0,0
Trappe,Talbot,2020,1005,0,0,0,0,0,0,0,0,0,0
Union Bridge,Carroll,2019,963,0,0,0,5,5,8,3,21,5,16
Union Bridge,Carroll,2020,962,0,1,0,1,5,9,0,16,2,14
University Park,Prince George's,2019,2631,0,0,0,0,2,20,9,31,0,31
University Park,Prince George's,2020,2639,0,0,0,0,2,17,2,21,0,21
Upper Marlboro,Prince George's,2019,673,0,0,0,0,1,13,0,14,0,14
Upper Marlboro,Prince George's,2020,675,0,0,0,1,2,13,0,16,1,15
Vienna,Dorchester,2019,271,0,0,0,0,0,0,0,0,0,0
Vienna,Dorchester,2020,271,0,0,0,0,0,0,0,0,0,0
Walkersville,Frederick,2019,6415,0,0,1,4,6,23,0,34,5,29
Walkersville,Frederick,2020,6179,0,0,0,5,2,11,0,18,5,13
Washington Grove,Montgomery,2019,561,0,0,0,0,0,2,0,2,0,2
Westernport,Allegany,2019,1805,0,0,0,0,0,0,0,0,0,0
Westernport,Allegany,2020,1805,0,0,0,0,0,0,0,0,0,0
Westminster,Carroll,2019,18640,0,9,13,46,66,493,16,643,68,575
Westminster,Carroll,2020,18654,1,3,10,22,46,322,10,414,36,378
Willards,Wicomico,2019,1009,0,0,0,0,0,1,0,1,0,1
Willards,Wicomico,2020,886,0,0,0,0,0,2,0,2,0,2
Williamsport,Washington,2019,2089,0,0,0,27,14,53,2,96,27,69
Williamsport,Washington,2020,2089,1,3,0,17,18,23,3,65,21,44
Woodsboro,Frederick,2019,1240,0,0,0,0,0,0,0,0,0,0
Woodsboro,Frederick,2020,1131,0,0,0,0,0,1,0,1,0,1
